VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,   "rms[Rho_2]"   ,   "rms[Rho_3]"   ,   "rms[Rho_4]"   ,   "rms[Rho_5]"   ,   "rms[Rho_6]"   ,   "rms[Rho_7]"   ,   "rms[Rho_8]"   ,   "rms[Rho_9]"   ,   "rms[Rho_10]"  ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  ,     "rms[nu]"    
          0,           0,          10,      -30.24317866,       -4.65198455,      -5.169424017,      -16.07593508,      -16.10237103,      -11.92986707,      -17.14817029,      -24.84203269,      -15.80608073,      -16.13964028,      -19.70872694,     -0.3164663266,      -1.228267126,       3.374268691,       0.191771155,    -0.06043488269
          0,           0,          11,      -30.05946779,      -4.653618845,      -5.171058315,      -15.99692856,      -16.07900115,       -11.8930945,      -17.14856881,      -24.90190583,      -15.80647934,      -16.13959324,      -19.70945157,     -0.3171305515,      -1.228206115,       3.373326154,      0.1919154556,     -0.0644070103
          0,           0,          12,      -29.89215877,      -4.655215199,       -5.17265467,      -15.92459767,      -16.05260044,      -11.85910188,      -17.15019477,      -25.00646941,       -15.8081054,      -16.14076149,      -19.71126627,     -0.3178038592,      -1.228162156,       3.372367355,      0.1920540084,    -0.06770810573
          0,           0,          13,      -29.73851316,      -4.656776494,      -5.174215967,      -15.85787471,      -16.02242876,      -11.82748823,      -17.15104386,      -25.09254225,      -15.80895459,      -16.14116571,      -19.71238701,     -0.3184846186,       -1.22813365,         3.3713951,      0.1921874537,    -0.07051903965
          0,           0,          14,      -29.59642265,      -4.658305206,      -5.175744682,      -15.79593246,      -15.98960289,      -11.79793393,      -17.15167376,      -25.17377754,      -15.80958459,      -16.14135506,      -19.71330938,     -0.3191714871,       -1.22811923,       3.370411614,      0.1923163156,    -0.07296467769
          0,           0,          15,       -29.4642307,      -4.659803486,      -5.177242964,      -15.73811637,      -15.95464352,      -11.77018004,      -17.15147441,      -25.16364478,      -15.80938534,      -16.14074176,      -19.71348683,     -0.3198633534,      -1.228117718,       3.369418692,      0.1924410299,    -0.07513314531
          0,           0,          16,      -29.34061268,      -4.661273217,      -5.178712697,      -15.68389917,      -15.91897136,      -11.74401383,      -17.15244702,      -25.28260756,      -15.81035803,      -16.14126582,        -19.714709,      -0.320559293,      -1.228128088,       3.368417801,      0.1925619637,     -0.0770878882
          0,           0,          17,      -29.22449312,      -4.662716064,      -5.180155547,      -15.63284962,      -15.88249908,       -11.7192584,      -17.15292786,      -25.34637771,      -15.81083896,      -16.14131282,      -19.71548779,     -0.3212585318,      -1.228149443,       3.367410154,      0.1926794298,    -0.07887541159
          0,           0,          18,      -29.11498708,      -4.664133511,      -5.181572995,      -15.58461034,      -15.84581941,      -11.69576499,      -17.15326674,      -25.37239218,      -15.81117792,      -16.14122373,      -19.71613565,     -0.3219604187,      -1.228180994,       3.366396763,      0.1927936979,    -0.08053036568
          0,           0,          19,       -29.0113578,      -4.665526886,      -5.182966373,      -15.53888175,      -15.80934431,      -11.67340735,      -17.15376917,      -25.43925137,      -15.81168044,      -16.14129664,      -19.71692688,      -0.322664403,      -1.228222043,        3.36537848,      0.1929050025,     -0.0820789552
          0,           0,          20,       -28.9129854,      -4.666897391,       -5.18433688,      -15.49541015,      -15.77327801,      -11.65207737,      -17.15425256,      -25.50346953,       -15.8121639,      -16.14135446,      -19.71769764,     -0.3233700165,      -1.228271965,        3.36435603,      0.1930135487,    -0.08354126772
          0,           0,          21,      -28.81934345,      -4.668246111,      -5.185685602,      -15.45397874,      -15.73779654,      -11.63168176,       -17.1546913,      -25.54804544,      -15.81260273,      -16.14137128,      -19.71842481,     -0.3240768599,      -1.228330204,       3.363330032,       0.193119518,     -0.0849328932
          0,           0,          22,      -28.72998109,      -4.669574037,      -5.187013531,      -15.41440079,      -15.70303067,      -11.61213949,      -17.15515086,      -25.60717516,      -15.81306238,      -16.14141151,      -19.71916739,     -0.3247845909,      -1.228396256,       3.362301017,      0.1932230715,    -0.08626606925
          0,           0,          23,      -28.64450928,      -4.670882078,      -5.188321574,      -15.37651424,      -15.66905462,      -11.59337967,      -17.15562071,      -25.68595314,      -15.81353231,       -16.1414642,      -19.71991594,     -0.3254929149,      -1.228469668,       3.361269446,      0.1933243529,    -0.08755050284
          0,           0,          24,      -28.56258994,      -4.672171064,      -5.189610563,      -15.34017756,      -15.63590842,      -11.57533997,      -17.15605905,        -25.743524,      -15.81397073,      -16.14148849,       -19.7206327,     -0.3262015781,      -1.228550029,       3.360235718,      0.1934234917,    -0.08879396814
          0,           0,          25,      -28.48392746,      -4.673441766,      -5.190881267,      -15.30526639,      -15.60356799,      -11.55796525,      -17.15583947,       -25.4084913,      -15.81375123,      -16.14088681,      -19.71985132,     -0.3269103606,      -1.228636963,       3.359200184,      0.1935206045,    -0.09000274695
          0,           0,          26,      -28.40826188,      -4.674694894,      -5.192134397,      -15.27167087,       -15.5721771,      -11.54120653,      -17.15689651,      -25.81687971,      -15.81480837,      -16.14151326,      -19.71821328,     -0.3276190717,      -1.228730126,       3.358163148,      0.1936157972,    -0.09118195711
          0,           0,          27,      -28.33536334,      -4.675931107,      -5.193370613,      -15.23929343,      -15.54158728,      -11.52502009,      -17.15730735,      -25.82850834,       -15.8152193,      -16.14151817,      -19.71609597,     -0.3283275458,      -1.228829203,       3.357124882,      0.1937091661,    -0.09233580003
          0,           0,          28,      -28.26502764,      -4.677151021,      -5.194590529,      -15.20804704,      -15.51182789,      -11.50936673,      -17.15771222,      -25.85192224,      -15.81562428,      -16.14151927,      -19.71449834,     -0.3290356384,      -1.228933906,       3.356085622,      0.1938007993,    -0.09346774932
          0,           0,          29,      -28.19707254,      -4.678355208,      -5.195794718,      -15.17785375,      -15.48287661,      -11.49421116,      -17.15811763,      -25.88149786,       -15.8160298,      -16.14152315,      -19.71259935,     -0.3297432235,      -1.229043966,       3.355045581,      0.1938907775,    -0.09458069577
          0,           0,          30,      -28.13133471,      -4.679544205,      -5.196983717,      -15.14864343,      -15.45470739,      -11.47952155,      -17.15852595,      -25.92664562,      -15.81643825,      -16.14153234,      -19.70848949,     -0.3304501911,      -1.229159135,       3.354004944,      0.1939791749,    -0.09567705997
          0,           0,          31,      -28.06766721,      -4.680718514,      -5.198158028,      -15.12035277,      -15.42729176,        -11.465269,      -17.15892513,      -25.95079414,      -15.81683751,      -16.14153483,      -19.70934958,      -0.331156445,      -1.229279184,        3.35296388,      0.1940660601,    -0.09675888045
          0,           0,          32,      -28.00593737,      -4.681878608,      -5.199318125,      -15.09292444,      -15.40060105,      -11.45142727,      -17.15932234,      -25.97569512,      -15.81723481,      -16.14153777,       -19.7102019,     -0.3318619011,      -1.229403899,       3.351922537,      0.1941514964,    -0.09782788321
          0,           0,          33,      -27.94602498,      -4.683024932,      -5.200464451,      -15.06630632,      -15.37459033,      -11.43797244,      -17.15908479,      -25.42460901,      -15.81699732,      -16.14093793,      -19.71050789,     -0.3325664857,      -1.229533081,       3.350881049,      0.1942355426,    -0.09888553714
          0,           0,          34,       -27.8878208,      -4.684157905,      -5.201597426,      -15.04045093,      -15.34927808,      -11.42488261,      -17.16011095,      -26.02242741,      -15.81802357,      -16.14154446,      -19.71188494,     -0.3332701344,      -1.229666544,       3.349839536,      0.1943182534,    -0.09993309826
          0,           0,          35,      -27.83122522,      -4.685277923,      -5.202717447,      -15.01531483,      -15.32458889,      -11.41213772,      -17.16050548,      -26.02763833,      -15.81841817,      -16.14155226,      -19.71271844,      -0.333972791,      -1.229804114,       3.348798104,      0.1943996797,     -0.1009716456
          0,           0,          36,      -27.77614721,      -4.686385362,      -5.203824888,      -14.99085826,      -15.30051113,      -11.39971934,      -17.16089409,      -26.06567188,      -15.81880686,      -16.14155607,      -19.71354147,     -0.3346744062,      -1.229945627,       3.347756851,      0.1944798691,       -0.10200211
          0,           0,          37,      -27.72250333,      -4.687480577,      -5.204920106,      -14.96704464,      -15.27701864,      -11.38761048,      -17.16127978,      -26.10474413,      -15.81919263,      -16.14155928,      -19.71435666,     -0.3353749372,      -1.230090929,       3.346715863,      0.1945588662,     -0.1030252981
          0,           0,          38,      -27.67021691,      -4.688563905,      -5.206003436,      -14.94384032,      -15.25408633,      -11.37579546,      -17.16166262,      -26.14162638,      -15.81957555,      -16.14156192,       -19.7151641,     -0.3360743466,      -1.230239877,       3.345675221,      0.1946367126,     -0.1040419117
          0,           0,          39,      -27.61921733,      -4.689635667,        -5.2070752,      -14.92121421,      -15.23169024,      -11.36425976,      -17.16204289,      -26.17765177,      -15.81995589,      -16.14156426,      -19.71596407,      -0.336772602,      -1.230392334,       3.344634994,      0.1947134475,     -0.1050525635
          0,           0,          40,      -27.56943942,      -4.690696167,      -5.208135703,      -14.89913759,      -15.20980759,      -11.35298994,      -17.16242039,      -26.21012455,      -15.82033348,      -16.14156608,      -19.71675648,     -0.3374696755,      -1.230548172,       3.343595247,       0.194789108,     -0.1060577906
          0,           0,          41,       -27.5208229,      -4.691745696,      -5.209185234,       -14.8775838,      -15.18841676,       -11.3419735,      -17.16279542,      -26.24101769,      -15.82070858,      -16.14156765,      -19.71754161,     -0.3381655428,      -1.230707269,       3.342556039,      0.1948637286,     -0.1070580656
          0,           0,          42,      -27.47331189,      -4.692784531,      -5.210224072,      -14.85652811,      -15.16749721,      -11.33119883,      -17.16316806,       -26.2709751,       -15.8210813,      -16.14156903,      -19.71831958,     -0.3388601834,      -1.230869511,       3.341517422,      0.1949373423,     -0.1080538057
          0,           0,          43,       -27.4268545,      -4.693812937,      -5.211252479,      -14.83594751,      -15.14702951,      -11.32065508,      -17.16353838,      -26.30046674,       -15.8214517,      -16.14157029,      -19.71909052,     -0.3395535795,      -1.231034788,       3.340479443,      0.1950099801,     -0.1090453802
          0,           0,          44,      -27.38140247,      -4.694831164,      -5.212270709,      -14.81582057,      -15.12699522,      -11.31033215,      -17.16390637,      -26.32887339,      -15.82181978,      -16.14157137,      -19.71985445,     -0.3402457164,      -1.231202996,       3.339442148,      0.1950816713,     -0.1100331176
          0,           0,          45,       -27.3369108,      -4.695839457,      -5.213279004,      -14.79612726,      -15.10737693,      -11.30022058,      -17.16427201,      -26.35475374,       -15.8221855,      -16.14157224,      -19.72061141,     -0.3409365816,      -1.231374039,       3.338405574,      0.1951524437,     -0.1110173102
          0,           0,          46,      -27.29333753,      -4.696838044,      -5.214277594,      -14.77684888,      -15.08815811,       -11.2903115,      -17.16463539,      -26.37878549,      -15.82254896,      -16.14157297,      -19.72136153,      -0.341626165,      -1.231547821,       3.337369758,      0.1952223239,     -0.1119982195
          0,           0,          47,      -27.25064339,        -4.6978271,      -5.215266652,      -14.75796792,      -15.06931931,      -11.28059663,      -17.16435403,      -25.44685489,      -15.82226767,      -16.14097064,      -19.72152891,     -0.3423142247,      -1.231725712,       3.336335022,       0.195291337,     -0.1129760798
          0,           0,          48,      -27.20879164,       -4.69880654,      -5.216246095,      -14.73946794,      -15.05085721,      -11.27106815,      -17.16535392,      -26.30000047,      -15.82326765,      -16.14157186,      -19.72281777,     -0.3429992706,      -1.231916962,       3.335303243,      0.1953595086,     -0.1139511015
          0,           0,          49,      -27.16774782,      -4.699776577,      -5.217216134,      -14.72133353,      -15.03274632,      -11.26171873,      -17.16571241,      -26.21185966,      -15.82362622,      -16.14157466,      -19.72354235,     -0.3436811341,      -1.232122689,       3.334274664,      0.1954268628,     -0.1149234743
          0,           0,          50,      -27.12747956,      -4.700737473,      -5.218177033,      -14.70355019,      -15.01497677,      -11.25254147,      -17.16597847,      -25.83782392,      -15.82389236,      -16.14149197,      -19.72418345,     -0.3443599215,      -1.232342287,       3.333249187,      0.1954934228,     -0.1158933694
          0,           0,          51,      -27.08795647,      -4.701689476,      -5.219129038,      -14.68610428,      -14.99753353,      -11.24352986,      -17.16556257,      -25.37925267,      -15.82347653,      -16.14078372,      -19.72393764,     -0.3450357325,      -1.232575186,        3.33222672,      0.1955592107,     -0.1168609417
          0,           0,          52,      -27.04914989,      -4.702632822,      -5.220072386,      -14.66898293,      -14.98041084,      -11.23467775,      -17.16586337,      -25.37250314,      -15.82377741,      -16.14073546,      -19.72446519,     -0.3457086601,      -1.232820851,       3.331207177,      0.1956242475,     -0.1178263319
          0,           0,          53,      -27.01103284,      -4.703567736,      -5.221007303,      -14.65217402,      -14.96359742,      -11.22597936,      -17.16709842,      -26.24416794,      -15.82501256,      -16.14155471,      -19.72595589,     -0.3463787914,      -1.233078772,       3.330190479,      0.1956885533,     -0.1187896675
          0,           0,          54,      -26.97357986,      -4.704494433,      -5.221934002,      -14.63566608,      -14.94707569,      -11.21742918,      -17.16746517,      -26.13351546,      -15.82537939,      -16.14157566,      -19.72667754,     -0.3470462083,      -1.233348472,       3.329176549,      0.1957521473,     -0.1197510651
          0,           0,          55,      -26.93676689,      -4.705413117,      -5.222852689,      -14.61944828,      -14.93083878,      -11.20902203,      -17.16780997,      -26.13773515,      -15.82572426,      -16.14157647,      -19.72737536,     -0.3477109876,      -1.233629495,       3.328165317,       0.195815048,     -0.1207106307
          0,           0,          56,      -26.90057118,      -4.706323985,      -5.223763559,      -14.60351036,      -14.91487703,      -11.20075297,      -17.16815254,      -26.17788696,      -15.82606691,      -16.14157669,      -19.72806679,     -0.3483732017,      -1.233921414,       3.327156718,       0.195877273,     -0.1216684616
          0,           0,          57,      -26.86497119,      -4.707227224,      -5.224666801,      -14.58784259,       -14.8991812,      -11.19261735,      -17.16849319,      -26.22349959,      -15.82640764,      -16.14157683,      -19.72875214,     -0.3490329186,       -1.23422382,       3.326150688,      0.1959388393,     -0.1226246465
          0,           0,          58,      -26.82994652,      -4.708123013,      -5.225562592,      -14.57243577,      -14.88374249,      -11.18461072,      -17.16883195,      -26.26929527,      -15.82674648,      -16.14157697,      -19.72943149,     -0.3496902029,      -1.234536327,       3.325147169,      0.1959997631,     -0.1235792673
          0,           0,          59,       -26.7954778,      -4.709011525,      -5.226451106,      -14.55728113,      -14.86855252,      -11.17672887,      -17.16916884,      -26.31407385,      -15.82708345,      -16.14157711,      -19.73010489,     -0.3503451153,      -1.234858567,       3.324146105,      0.1960600601,     -0.1245323989
          0,           0,          60,      -26.76154665,      -4.709892923,      -5.227332507,      -14.54237037,       -14.8536033,      -11.16896779,      -17.16950385,      -26.35718069,      -15.82741853,      -16.14157724,       -19.7307724,     -0.3509977133,      -1.235190191,       3.323147445,      0.1961197452,     -0.1254841104
          0,           0,          61,      -26.72813562,      -4.710767368,      -5.228206954,      -14.52769557,      -14.83888722,      -11.16132366,      -17.16983699,      -26.39810651,      -15.82775176,      -16.14157736,      -19.73143407,     -0.3516480515,      -1.235530866,       3.322151138,      0.1961788329,     -0.1264344657
          0,           0,          62,      -26.69522808,       -4.71163501,      -5.229074599,      -14.51324921,        -14.824397,      -11.15379286,      -17.17016829,      -26.43657718,      -15.82808313,      -16.14157746,      -19.73208996,     -0.3522961815,      -1.235880277,       3.321157138,      0.1962373371,     -0.1273835237
          0,           0,          63,      -26.66280822,      -4.712495996,      -5.229935587,      -14.49902413,      -14.81012572,      -11.14637191,      -17.17049776,      -26.47224263,      -15.82841268,      -16.14157756,      -19.73274014,     -0.3529421526,       -1.23623812,         3.3201654,      0.1962952711,      -0.128331339
          0,           0,          64,      -26.63086099,      -4.713350466,      -5.230790061,      -14.48501348,      -14.79606674,      -11.13905751,      -17.17082542,      -26.50473068,      -15.82874042,      -16.14157764,      -19.73338467,     -0.3535860114,      -1.236604109,       3.319175883,      0.1963526481,     -0.1292779621
          0,           0,          65,      -26.59937201,      -4.714198557,      -5.231638154,      -14.47121075,      -14.78221372,      -11.13184649,      -17.17115129,      -26.53368967,      -15.82906637,      -16.14157771,      -19.73402361,     -0.3542278022,      -1.236977968,       3.318188546,      0.1964094803,     -0.1302234589
          0,           0,          66,      -26.56832758,      -4.715040399,      -5.232479998,      -14.45760971,      -14.76856062,      -11.12473585,      -17.17147538,      -26.55877687,      -15.82939055,      -16.14157778,      -19.73465702,     -0.3548675675,      -1.237359435,       3.317203352,      0.1964657799,     -0.1311678811
          0,           0,          67,      -26.53771461,      -4.715876117,      -5.233315719,      -14.44420441,      -14.75510163,      -11.11772269,      -17.17179772,      -26.57969729,      -15.82971297,      -16.14157784,      -19.73528495,     -0.3555053475,      -1.237748259,       3.316220263,      0.1965215584,     -0.1321112405
          0,           0,          68,       -26.5075206,      -4.716705834,      -5.234145438,      -14.43098918,      -14.74183121,      -11.11080426,      -17.17211832,      -26.59620405,      -15.83003364,      -16.14157789,      -19.73590748,     -0.3561411808,      -1.238144199,       3.315239246,      0.1965768272,     -0.1330535751
          0,           0,          69,      -26.47773359,      -4.717529666,      -5.234969273,      -14.41795857,      -14.72874402,      -11.10397791,      -17.17243719,      -26.60816612,      -15.83035259,      -16.14157794,      -19.73652465,     -0.3567751042,      -1.238547027,       3.314260267,       0.196631597,     -0.1339949204
          0,           0,          70,      -26.44834213,      -4.718347726,      -5.235787336,      -14.40510738,      -14.71583498,       -11.0972411,      -17.17275436,      -26.61557948,      -15.83066984,      -16.14157798,      -19.73713653,     -0.3574071528,      -1.238956521,       3.313283296,      0.1966858785,     -0.1349353097
          0,           0,          71,      -26.41933527,      -4.719160124,      -5.236599736,      -14.39243061,      -14.70309875,      -11.09059142,      -17.17264348,      -25.53768048,      -15.83055902,      -16.14119612,      -19.73735698,     -0.3580373604,      -1.239372471,       3.312308301,      0.1967396819,      -0.135874774
          0,           0,          72,      -26.39070252,      -4.719966966,      -5.237406581,      -14.37992349,      -14.69053197,      -11.08402652,      -17.17337468,      -26.59208498,      -15.83129032,      -16.14156936,      -19.73833653,     -0.3586657591,      -1.239794673,       3.311335256,       0.196793017,     -0.1368133376
          0,           0,          73,      -26.36243379,      -4.720767842,       -5.23820746,      -14.36758142,      -14.67812882,      -11.07754418,      -17.17369561,        -26.412435,      -15.83161133,      -16.14157789,      -19.73894084,     -0.3592922007,      -1.240222935,       3.310364227,      0.1968458935,     -0.1377510229
          0,           0,          74,      -26.33451945,      -4.721562849,      -5.239002469,      -14.35540002,      -14.66588539,      -11.07114224,      -17.17400619,      -26.39285026,      -15.83192199,      -16.14157812,       -19.7395322,     -0.3599167153,      -1.240657068,        3.30939519,      0.1968983206,     -0.1386878564
          0,           0,          75,      -26.30695023,      -4.722352085,      -5.239791707,      -14.34337505,      -14.65379754,      -11.06481865,      -17.17431504,      -26.41385267,      -15.83223091,      -16.14157815,      -19.74011845,     -0.3605393335,      -1.241096895,       3.308428117,      0.1969503074,     -0.1396238629
          0,           0,          76,      -26.27971722,      -4.723135645,      -5.240575271,      -14.33150245,      -14.64186126,      -11.05857142,      -17.17462228,      -26.43498525,      -15.83253824,      -16.14157817,      -19.74069976,     -0.3611600852,      -1.241542242,       3.307462981,      0.1970018626,      -0.140559066
          0,           0,          77,      -26.25281187,      -4.723913624,      -5.241353252,      -14.31977833,      -14.63007271,      -11.05239864,      -17.17492793,      -26.44978829,      -15.83284396,       -16.1415782,      -19.74127616,      -0.361778999,      -1.241992943,       3.306499759,      0.1970529949,     -0.1414934878
          0,           0,          78,      -26.22622596,      -4.724686111,      -5.242125742,      -14.30819893,      -14.61842818,      -11.04629848,      -17.17523199,      -26.45729434,       -15.8331481,      -16.14157822,      -19.74184773,     -0.3623961027,       -1.24244884,       3.305538427,      0.1971037125,     -0.1424271493
          0,           0,          79,      -26.19995157,      -4.725453195,      -5.242892829,      -14.29676064,      -14.60692412,      -11.04026917,      -17.17553448,      -26.45777697,      -15.83345067,      -16.14157823,      -19.74241449,      -0.363011423,      -1.242909779,       3.304578961,      0.1971540236,     -0.1433600703
          0,           0,          80,      -26.17398111,      -4.726214961,      -5.243654597,      -14.28545999,      -14.59555709,        -11.034309,      -17.17583541,      -26.45200129,      -15.83375169,      -16.14157825,      -19.74297652,     -0.3636249858,      -1.243375611,       3.303621339,      0.1972039359,     -0.1442922694
          0,           0,          81,      -26.14830723,      -4.726971492,      -5.244411131,      -14.27429362,      -14.58432379,      -11.02841634,      -17.17613481,      -26.44096074,      -15.83405116,      -16.14157827,      -19.74353387,     -0.3642368159,      -1.243846194,       3.302665539,      0.1972534571,     -0.1452237646
          0,           0,          82,      -26.12292287,      -4.727722869,      -5.245162511,      -14.26325831,      -14.57322101,       -11.0225896,      -17.17643267,      -26.42569631,      -15.83434911,      -16.14157828,      -19.74408657,     -0.3648469375,      -1.244321391,       3.301711543,      0.1973025948,     -0.1461545726
          0,           0,          83,      -26.09782122,      -4.728469171,      -5.245908815,      -14.25235096,      -14.56224532,      -11.01682725,      -17.17605358,      -25.43759661,      -15.83397007,      -16.14097532,      -19.74401373,     -0.3654553739,      -1.244801068,       3.300759328,      0.1973513562,     -0.1470847094
          0,           0,          84,      -26.07299573,      -4.729210475,      -5.246650122,      -14.24156855,      -14.55139485,      -11.01112783,      -17.17702223,      -26.30731755,      -15.83493882,        -16.141576,      -19.74517678,     -0.3660621478,      -1.245285099,       3.299808878,      0.1973997484,     -0.1480141904
          0,           0,          85,      -26.04844006,      -4.729946855,      -5.247386504,      -14.23090821,      -14.54066563,       -11.0054899,      -17.17731712,      -26.20696895,      -15.83523379,      -16.14157831,      -19.74571728,      -0.366667281,      -1.245773359,       3.298860172,      0.1974477785,     -0.1489430299
          0,           0,          86,      -26.02414809,      -4.730678384,      -5.248118036,      -14.22036713,      -14.53005526,      -10.99991211,      -17.17760894,      -26.21730495,      -15.83552569,      -16.14157833,      -19.74625189,     -0.3672707947,      -1.246265728,       3.297913193,      0.1974954531,     -0.1498712418
          0,           0,          87,      -26.00011393,      -4.731405133,      -5.248844787,      -14.20994261,      -14.51956106,      -10.99439311,      -17.17789935,      -26.22575215,      -15.83581618,      -16.14157834,      -19.74678217,     -0.3678727096,      -1.246762093,       3.296967924,      0.1975427789,     -0.1507988391
          0,           0,          88,      -25.97633188,      -4.732127171,      -5.249566828,      -14.19963206,      -14.50918046,      -10.98893162,      -17.17818833,       -26.2262519,      -15.83610524,      -16.14157835,      -19.74730813,     -0.3684730456,       -1.24726234,       3.296024348,      0.1975897625,     -0.1517258344
          0,           0,          89,      -25.95279642,      -4.732844566,      -5.250284226,      -14.18943294,      -14.49891095,      -10.98352641,      -17.17847587,      -26.21966919,      -15.83639286,      -16.14157835,       -19.7478298,      -0.369071822,      -1.247766362,       3.295082449,      0.1976364101,     -0.1526522396
          0,           0,          90,      -25.92950223,      -4.733557384,      -5.250997046,      -14.17934283,      -14.48875011,      -10.97817628,        -17.178762,       -26.2074509,      -15.83667907,      -16.14157836,      -19.74834723,     -0.3696690576,      -1.248274055,       3.294142211,       0.197682728,     -0.1535780662
          0,           0,          91,      -25.90644415,      -4.734265688,      -5.251705354,      -14.16935937,      -14.47869562,      -10.97288006,      -17.17904672,      -26.19100676,      -15.83696387,      -16.14157837,      -19.74886048,     -0.3702647708,      -1.248785318,        3.29320362,      0.1977287223,     -0.1545033249
          0,           0,          92,      -25.88361722,      -4.734969543,      -5.252409211,      -14.15948028,       -14.4687452,      -10.96763662,      -17.17933005,      -26.17153723,      -15.83724727,      -16.14157838,       -19.7493696,     -0.3708589794,      -1.249300053,        3.29226666,      0.1977743989,     -0.1554280262
          0,           0,          93,      -25.86101659,      -4.735669008,       -5.25310868,      -14.14970335,      -14.45889666,      -10.96244488,      -17.17961199,      -26.14998437,       -15.8375293,      -16.14157838,      -19.74987359,     -0.3714517005,      -1.249818165,       3.291331316,      0.1978197638,     -0.1563521801
          0,           0,          94,       -25.8386376,      -4.736364145,      -5.253803819,      -14.14002646,      -14.44914788,      -10.95730379,      -17.17989258,      -26.12704784,      -15.83780996,      -16.14157839,       -19.7503736,     -0.3720429509,      -1.250339562,       3.290397577,      0.1978648225,     -0.1572757959
          0,           0,          95,      -25.81647574,      -4.737055012,      -5.254494688,      -14.13044752,       -14.4394968,      -10.95221232,       -17.1801718,      -26.10322844,      -15.83808927,      -16.14157839,       -19.7508706,     -0.3726327472,      -1.250864156,       3.289465426,      0.1979095809,     -0.1581988829
          0,           0,          96,       -25.7945266,      -4.737741665,      -5.255181345,      -14.12096453,      -14.42994144,      -10.94716948,      -17.18044969,      -26.07887594,      -15.83836723,       -16.1415784,      -19.75136365,      -0.373221105,       -1.25139186,       3.288534853,      0.1979540444,     -0.1591214498
          0,           0,          97,      -25.77278596,      -4.738424162,      -5.255863844,      -14.11157555,      -14.42047986,       -10.9421743,      -17.18072624,      -26.05423065,      -15.83864387,       -16.1415784,      -19.75185278,     -0.3738080401,       -1.25192259,       3.287605844,      0.1979982184,     -0.1600435048
